t,x,y
0,1.496e+11,0
1,1.49578e+11,2.57399e+09
2,1.49511e+11,5.14596e+09
3,1.49401e+11,7.71512e+09
4,1.49246e+11,1.02807e+10
5,1.49047e+11,1.2842e+10
6,1.48805e+11,1.53982e+10
7,1.48518e+11,1.79486e+10
8,1.48187e+11,2.04924e+10
9,1.47813e+11,2.30289e+10
10,1.47395e+11,2.55573e+10
11,1.46934e+11,2.80769e+10
12,1.4643e+11,3.05869e+10
13,1.45882e+11,3.30865e+10
14,1.45292e+11,3.55752e+10
15,1.44659e+11,3.8052e+10
16,1.43983e+11,4.05164e+10
17,1.43266e+11,4.29675e+10
18,1.42506e+11,4.54046e+10
19,1.41704e+11,4.7827e+10
20,1.40861e+11,5.02341e+10
21,1.39976e+11,5.26251e+10
22,1.39051e+11,5.49992e+10
23,1.38084e+11,5.73559e+10
24,1.37078e+11,5.96943e+10
25,1.36031e+11,6.20139e+10
26,1.34944e+11,6.43139e+10
27,1.33818e+11,6.65937e+10
28,1.32653e+11,6.88525e+10
29,1.31449e+11,7.10897e+10
30,1.30207e+11,7.33047e+10
31,1.28926e+11,7.54968e+10
32,1.27608e+11,7.76653e+10
33,1.26253e+11,7.98097e+10
34,1.24861e+11,8.19292e+10
35,1.23432e+11,8.40232e+10
36,1.21968e+11,8.60911e+10
37,1.20468e+11,8.81324e+10
38,1.18933e+11,9.01463e+10
39,1.17363e+11,9.21324e+10
40,1.15759e+11,9.40899e+10
41,1.14121e+11,9.60183e+10
42,1.1245e+11,9.7917e+10
43,1.10747e+11,9.97856e+10
44,1.09011e+11,1.01623e+11
45,1.07243e+11,1.0343e+11
46,1.05444e+11,1.05204e+11
47,1.03615e+11,1.06946e+11
48,1.01755e+11,1.08655e+11
49,9.98662e+10,1.1033e+11
50,9.7948e+10,1.11972e+11
51,9.60014e+10,1.13578e+11
52,9.40268e+10,1.1515e+11
53,9.2025e+10,1.16686e+11
54,8.99964e+10,1.18187e+11
55,8.79417e+10,1.1965e+11
56,8.58614e+10,1.21077e+11
57,8.37563e+10,1.22466e+11
58,8.16268e+10,1.23818e+11
59,7.94737e+10,1.25131e+11
60,7.72975e+10,1.26405e+11
61,7.5099e+10,1.27641e+11
62,7.28786e+10,1.28836e+11
63,7.06372e+10,1.29992e+11
64,6.83754e+10,1.31107e+11
65,6.60938e+10,1.32182e+11
66,6.37931e+10,1.33215e+11
67,6.14741e+10,1.34207e+11
68,5.91373e+10,1.35157e+11
69,5.67835e+10,1.36065e+11
70,5.44133e+10,1.3693e+11
71,5.20276e+10,1.37753e+11
72,4.9627e+10,1.38532e+11
73,4.72122e+10,1.39268e+11
74,4.4784e+10,1.3996e+11
75,4.2343e+10,1.40608e+11
76,3.98901e+10,1.41212e+11
77,3.7426e+10,1.41771e+11
78,3.49514e+10,1.42285e+11
79,3.2467e+10,1.42754e+11
80,2.99738e+10,1.43178e+11
81,2.74723e+10,1.43557e+11
82,2.49634e+10,1.43889e+11
83,2.24479e+10,1.44176e+11
84,1.99265e+10,1.44416e+11
85,1.74001e+10,1.44611e+11
86,1.48694e+10,1.44758e+11
87,1.23352e+10,1.4486e+11
88,9.7984e+09,1.44914e+11
89,7.2597e+09,1.44922e+11
90,4.71996e+09,1.44882e+11
91,2.17999e+09,1.44796e+11
92,-3.59389e+08,1.44662e+11
93,-2.89735e+09,1.44481e+11
94,-5.43306e+09,1.44253e+11
95,-7.96568e+09,1.43977e+11
96,-1.04944e+10,1.43654e+11
97,-1.30183e+10,1.43283e+11
98,-1.55367e+10,1.42865e+11
99,-1.80485e+10,1.424e+11
100,-2.05531e+10,1.41887e+11
101,-2.30494e+10,1.41326e+11
102,-2.55368e+10,1.40718e+11
103,-2.80142e+10,1.40063e+11
104,-3.04809e+10,1.39361e+11
105,-3.2936e+10,1.38611e+11
106,-3.53785e+10,1.37814e+11
107,-3.78077e+10,1.3697e+11
108,-4.02226e+10,1.3608e+11
109,-4.26224e+10,1.35142e+11
110,-4.50061e+10,1.34158e+11
111,-4.7373e+10,1.33128e+11
112,-4.9722e+10,1.32051e+11
113,-5.20524e+10,1.30929e+11
114,-5.43632e+10,1.2976e+11
115,-5.66536e+10,1.28546e+11
116,-5.89226e+10,1.27287e+11
117,-6.11693e+10,1.25982e+11
118,-6.33929e+10,1.24633e+11
119,-6.55925e+10,1.23239e+11
120,-6.77672e+10,1.21801e+11
121,-6.9916e+10,1.20319e+11
122,-7.20381e+10,1.18794e+11
123,-7.41326e+10,1.17225e+11
124,-7.61986e+10,1.15614e+11
125,-7.82352e+10,1.1396e+11
126,-8.02414e+10,1.12264e+11
127,-8.22166e+10,1.10527e+11
128,-8.41596e+10,1.08749e+11
129,-8.60697e+10,1.0693e+11
130,-8.79459e+10,1.05071e+11
131,-8.97874e+10,1.03172e+11
132,-9.15933e+10,1.01234e+11
133,-9.33628e+10,9.92579e+10
134,-9.50949e+10,9.72437e+10
135,-9.67887e+10,9.5192e+10
136,-9.84435e+10,9.31036e+10
137,-1.00058e+11,9.09791e+10
138,-1.01632e+11,8.8819e+10
139,-1.03165e+11,8.66241e+10
140,-1.04655e+11,8.43951e+10
141,-1.06101e+11,8.21327e+10
142,-1.07504e+11,7.98375e+10
143,-1.08861e+11,7.75104e+10
144,-1.10173e+11,7.51522e+10
145,-1.11438e+11,7.27635e+10
146,-1.12656e+11,7.03454e+10
147,-1.13826e+11,6.78984e+10
148,-1.14947e+11,6.54237e+10
149,-1.16018e+11,6.2922e+10
150,-1.17038e+11,6.03942e+10
151,-1.18008e+11,5.78412e+10
152,-1.18925e+11,5.52641e+10
153,-1.1979e+11,5.26638e+10
154,-1.20602e+11,5.00412e+10
155,-1.2136e+11,4.73975e+10
156,-1.22062e+11,4.47336e+10
157,-1.2271e+11,4.20505e+10
158,-1.23302e+11,3.93495e+10
159,-1.23837e+11,3.66316e+10
160,-1.24315e+11,3.38979e+10
161,-1.24735e+11,3.11496e+10
162,-1.25097e+11,2.83879e+10
163,-1.254e+11,2.56139e+10
164,-1.25644e+11,2.28288e+10
165,-1.25827e+11,2.0034e+10
166,-1.25951e+11,1.72307e+10
167,-1.26014e+11,1.44201e+10
168,-1.26015e+11,1.16036e+10
169,-1.25955e+11,8.78254e+09
170,-1.25833e+11,5.95816e+09
171,-1.25649e+11,3.13189e+09
172,-1.25402e+11,3.05101e+08
173,-1.25092e+11,-2.5208e+09
174,-1.24719e+11,-5.34438e+09
175,-1.24282e+11,-8.16422e+09
176,-1.23782e+11,-1.09788e+10
177,-1.23219e+11,-1.37868e+10
178,-1.22591e+11,-1.65866e+10
179,-1.219e+11,-1.93766e+10
180,-1.21144e+11,-2.21555e+10
181,-1.20325e+11,-2.49217e+10
182,-1.19442e+11,-2.76736e+10
183,-1.18494e+11,-3.04096e+10
184,-1.17483e+11,-3.31283e+10
185,-1.16409e+11,-3.58279e+10
186,-1.1527e+11,-3.8507e+10
187,-1.14069e+11,-4.1164e+10
188,-1.12805e+11,-4.37971e+10
189,-1.11478e+11,-4.64049e+10
190,-1.10089e+11,-4.89857e+10
191,-1.08638e+11,-5.15379e+10
192,-1.07125e+11,-5.40599e+10
193,-1.05552e+11,-5.655e+10
194,-1.03918e+11,-5.90067e+10
195,-1.02224e+11,-6.14283e+10
196,-1.00472e+11,-6.38133e+10
197,-9.86604e+10,-6.616e+10
198,-9.67915e+10,-6.84669e+10
199,-9.48657e+10,-7.07323e+10
200,-9.28838e+10,-7.29547e+10
201,-9.08467e+10,-7.51325e+10
202,-8.87553e+10,-7.72642e+10
203,-8.66106e+10,-7.93483e+10
204,-8.44136e+10,-8.13832e+10
205,-8.21655e+10,-8.33675e+10
206,-7.98673e+10,-8.52996e+10
207,-7.75202e+10,-8.71782e+10
208,-7.51255e+10,-8.90018e+10
209,-7.26845e+10,-9.07691e+10
210,-7.01984e+10,-9.24786e+10
211,-6.76686e+10,-9.4129e+10
212,-6.50966e+10,-9.57191e+10
213,-6.24838e+10,-9.72476e+10
214,-5.98317e+10,-9.87133e+10
215,-5.71419e+10,-1.00115e+11
216,-5.44159e+10,-1.01451e+11
217,-5.16555e+10,-1.02722e+11
218,-4.88622e+10,-1.03924e+11
219,-4.60378e+10,-1.05059e+11
220,-4.3184e+10,-1.06124e+11
221,-4.03026e+10,-1.07119e+11
222,-3.73954e+10,-1.08043e+11
223,-3.44643e+10,-1.08895e+11
224,-3.15112e+10,-1.09675e+11
225,-2.8538e+10,-1.10381e+11
226,-2.55465e+10,-1.11013e+11
227,-2.25388e+10,-1.1157e+11
228,-1.95169e+10,-1.12053e+11
229,-1.64827e+10,-1.12459e+11
230,-1.34383e+10,-1.1279e+11
231,-1.03857e+10,-1.13045e+11
232,-7.32693e+09,-1.13223e+11
233,-4.26411e+09,-1.13324e+11
234,-1.19929e+09,-1.13348e+11
235,1.86544e+09,-1.13295e+11
236,4.92801e+09,-1.13164e+11
237,7.98632e+09,-1.12957e+11
238,1.10383e+10,-1.12673e+11
239,1.40818e+10,-1.12312e+11
240,1.71149e+10,-1.11874e+11
241,2.01353e+10,-1.1136e+11
242,2.31411e+10,-1.1077e+11
243,2.61302e+10,-1.10104e+11
244,2.91006e+10,-1.09364e+11
245,3.20502e+10,-1.08549e+11
246,3.4977e+10,-1.0766e+11
247,3.78791e+10,-1.06697e+11
248,4.07544e+10,-1.05662e+11
249,4.36012e+10,-1.04556e+11
250,4.64174e+10,-1.03378e+11
251,4.92011e+10,-1.02131e+11
252,5.19506e+10,-1.00814e+11
253,5.46639e+10,-9.94292e+10
254,5.73394e+10,-9.79774e+10
255,5.99753e+10,-9.64598e+10
256,6.25699e+10,-9.48774e+10
257,6.51214e+10,-9.32315e+10
258,6.76283e+10,-9.15232e+10
259,7.0089e+10,-8.9754e+10
260,7.25019e+10,-8.79251e+10
261,7.48656e+10,-8.60379e+10
262,7.71786e+10,-8.40938e+10
263,7.94394e+10,-8.20943e+10
264,8.16468e+10,-8.00409e+10
265,8.37994e+10,-7.79351e+10
266,8.58959e+10,-7.57784e+10
267,8.79352e+10,-7.35724e+10
268,8.9916e+10,-7.13187e+10
269,9.18373e+10,-6.9019e+10
270,9.3698e+10,-6.6675e+10
271,9.54971e+10,-6.42882e+10
272,9.72336e+10,-6.18605e+10
273,9.89066e+10,-5.93934e+10
274,1.00515e+11,-5.68889e+10
275,1.02059e+11,-5.43486e+10
276,1.03537e+11,-5.17743e+10
277,1.04948e+11,-4.91677e+10
278,1.06291e+11,-4.65307e+10
279,1.07567e+11,-4.3865e+10
280,1.08775e+11,-4.11725e+10
281,1.09914e+11,-3.8455e+10
282,1.10983e+11,-3.57142e+10
283,1.11983e+11,-3.2952e+10
284,1.12912e+11,-3.01702e+10
285,1.13772e+11,-2.73706e+10
286,1.1456e+11,-2.45551e+10
287,1.15278e+11,-2.17253e+10
288,1.15925e+11,-1.88832e+10
289,1.165e+11,-1.60305e+10
290,1.17005e+11,-1.3169e+10
291,1.17438e+11,-1.03005e+10
292,1.178e+11,-7.42682e+09
293,1.18091e+11,-4.54961e+09
294,1.18312e+11,-1.67067e+09
295,1.18461e+11,1.20825e+09
296,1.1854e+11,4.08544e+09
297,1.18548e+11,6.95919e+09
298,1.18486e+11,9.82781e+09
299,1.18354e+11,1.26896e+10
300,1.18153e+11,1.55429e+10
301,1.17883e+11,1.83861e+10
302,1.17544e+11,2.12176e+10
303,1.17137e+11,2.40356e+10
304,1.16662e+11,2.68388e+10
305,1.1612e+11,2.96253e+10
306,1.15511e+11,3.23939e+10
307,1.14837e+11,3.51428e+10
308,1.14097e+11,3.78706e+10
309,1.13292e+11,4.05757e+10
310,1.12423e+11,4.32568e+10
311,1.1149e+11,4.59124e+10
312,1.10495e+11,4.8541e+10
313,1.09438e+11,5.11413e+10
314,1.0832e+11,5.37118e+10
315,1.07142e+11,5.62513e+10
316,1.05904e+11,5.87583e+10
317,1.04608e+11,6.12316e+10
318,1.03254e+11,6.36699e+10
319,1.01843e+11,6.60719e+10
320,1.00377e+11,6.84364e+10
321,9.88552e+10,7.07622e+10
322,9.72798e+10,7.3048e+10
323,9.56515e+10,7.52927e+10
324,9.39714e+10,7.74952e+10
325,9.22403e+10,7.96543e+10
326,9.04595e+10,8.1769e+10
327,8.863e+10,8.38382e+10
328,8.67528e+10,8.58608e+10
329,8.48292e+10,8.78359e+10
