t,x,y
90000,1.4958e+11,2.15818e+09
180000,1.50428e+11,-2.4928e+10
270000,1.51542e+11,-6.17671e+10
360000,1.52618e+11,-9.85873e+10
450000,1.53667e+11,-1.35386e+11
540000,1.54697e+11,-1.72163e+11
630000,1.55712e+11,-2.08922e+11
720000,1.56718e+11,-2.45663e+11
810000,1.57717e+11,-2.8239e+11
900000,1.58711e+11,-3.19103e+11
990000,1.59701e+11,-3.55804e+11
1.08e+06,1.60688e+11,-3.92495e+11
1.17e+06,1.61672e+11,-4.29176e+11
1.26e+06,1.62655e+11,-4.65848e+11
1.35e+06,1.63636e+11,-5.02512e+11
1.44e+06,1.64616e+11,-5.39167e+11
1.53e+06,1.65594e+11,-5.75815e+11
1.62e+06,1.66572e+11,-6.12456e+11
1.71e+06,1.67549e+11,-6.4909e+11
1.8e+06,1.68525e+11,-6.85718e+11
1.89e+06,1.695e+11,-7.22339e+11
1.98e+06,1.70475e+11,-7.58954e+11
2.07e+06,1.71449e+11,-7.95563e+11
2.16e+06,1.72423e+11,-8.32166e+11
2.25e+06,1.73397e+11,-8.68764e+11
2.34e+06,1.7437e+11,-9.05355e+11
2.43e+06,1.75343e+11,-9.41942e+11
2.52e+06,1.76315e+11,-9.78523e+11
2.61e+06,1.77287e+11,-1.0151e+12
2.7e+06,1.78259e+11,-1.05167e+12
2.79e+06,1.79231e+11,-1.08823e+12
2.88e+06,1.80202e+11,-1.12479e+12
2.97e+06,1.81173e+11,-1.16135e+12
3.06e+06,1.82144e+11,-1.1979e+12
3.15e+06,1.83115e+11,-1.23444e+12
3.24e+06,1.84085e+11,-1.27098e+12
3.33e+06,1.85055e+11,-1.30752e+12
3.42e+06,1.86025e+11,-1.34405e+12
3.51e+06,1.86995e+11,-1.38057e+12
3.6e+06,1.87965e+11,-1.41709e+12
3.69e+06,1.88934e+11,-1.45361e+12
3.78e+06,1.89904e+11,-1.49012e+12
3.87e+06,1.90873e+11,-1.52663e+12
3.96e+06,1.91842e+11,-1.56313e+12
4.05e+06,1.9281e+11,-1.59962e+12
4.14e+06,1.93779e+11,-1.63612e+12
4.23e+06,1.94747e+11,-1.6726e+12
4.32e+06,1.95716e+11,-1.70908e+12
4.41e+06,1.96684e+11,-1.74556e+12
4.5e+06,1.97652e+11,-1.78204e+12
4.59e+06,1.9862e+11,-1.8185e+12
4.68e+06,1.99587e+11,-1.85497e+12
4.77e+06,2.00555e+11,-1.89143e+12
4.86e+06,2.01522e+11,-1.92788e+12
4.95e+06,2.0249e+11,-1.96433e+12
5.04e+06,2.03457e+11,-2.00078e+12
5.13e+06,2.04424e+11,-2.03722e+12
5.22e+06,2.0539e+11,-2.07366e+12
5.31e+06,2.06357e+11,-2.11009e+12
5.4e+06,2.07324e+11,-2.14652e+12
5.49e+06,2.0829e+11,-2.18294e+12
5.58e+06,2.09256e+11,-2.21936e+12
5.67e+06,2.10222e+11,-2.25577e+12
5.76e+06,2.11188e+11,-2.29218e+12
5.85e+06,2.12154e+11,-2.32858e+12
5.94e+06,2.1312e+11,-2.36498e+12
6.03e+06,2.14086e+11,-2.40138e+12
6.12e+06,2.15051e+11,-2.43777e+12
6.21e+06,2.16016e+11,-2.47416e+12
6.3e+06,2.16982e+11,-2.51054e+12
6.39e+06,2.17947e+11,-2.54692e+12
6.48e+06,2.18912e+11,-2.58329e+12
6.57e+06,2.19876e+11,-2.61966e+12
6.66e+06,2.20841e+11,-2.65603e+12
6.75e+06,2.21806e+11,-2.69239e+12
6.84e+06,2.2277e+11,-2.72874e+12
6.93e+06,2.23734e+11,-2.76509e+12
7.02e+06,2.24699e+11,-2.80144e+12
7.11e+06,2.25663e+11,-2.83778e+12
7.2e+06,2.26627e+11,-2.87412e+12
7.29e+06,2.27591e+11,-2.91045e+12
7.38e+06,2.28554e+11,-2.94678e+12
7.47e+06,2.29518e+11,-2.9831e+12
7.56e+06,2.30481e+11,-3.01942e+12
7.65e+06,2.31445e+11,-3.05574e+12
7.74e+06,2.32408e+11,-3.09205e+12
7.83e+06,2.33371e+11,-3.12836e+12
7.92e+06,2.34334e+11,-3.16466e+12
8.01e+06,2.35297e+11,-3.20096e+12
