t,x,y
90000,2.2789e+11,2.10117e+09
180000,2.27861e+11,4.05283e+09
270000,2.27814e+11,5.82764e+09
360000,2.27754e+11,7.38083e+09
450000,2.27689e+11,8.61872e+09
540000,2.3201e+11,7.4528e+10
630000,2.44092e+11,2.56336e+11
720000,2.56168e+11,4.38137e+11
810000,2.68241e+11,6.19935e+11
900000,2.80313e+11,8.0173e+11
990000,2.92385e+11,9.83524e+11
1.08e+06,3.04457e+11,1.16532e+12
1.17e+06,3.16528e+11,1.34711e+12
1.26e+06,3.28599e+11,1.5289e+12
1.35e+06,3.4067e+11,1.71069e+12
1.44e+06,3.52741e+11,1.89248e+12
1.53e+06,3.64812e+11,2.07427e+12
1.62e+06,3.76883e+11,2.25606e+12
1.71e+06,3.88954e+11,2.43785e+12
1.8e+06,4.01024e+11,2.61964e+12
1.89e+06,4.13095e+11,2.80143e+12
1.98e+06,4.25166e+11,2.98322e+12
2.07e+06,4.37237e+11,3.16501e+12
2.16e+06,4.49307e+11,3.3468e+12
2.25e+06,4.61378e+11,3.52859e+12
2.34e+06,4.73449e+11,3.71038e+12
2.43e+06,4.8552e+11,3.89217e+12
2.52e+06,4.9759e+11,4.07396e+12
2.61e+06,5.09661e+11,4.25575e+12
2.7e+06,5.21732e+11,4.43754e+12
2.79e+06,5.33802e+11,4.61933e+12
2.88e+06,5.45873e+11,4.80111e+12
2.97e+06,5.57944e+11,4.9829e+12
3.06e+06,5.70014e+11,5.16469e+12
3.15e+06,5.82085e+11,5.34648e+12
3.24e+06,5.94155e+11,5.52827e+12
3.33e+06,6.06226e+11,5.71006e+12
3.42e+06,6.18297e+11,5.89184e+12
3.51e+06,6.30367e+11,6.07363e+12
3.6e+06,6.42438e+11,6.25542e+12
3.69e+06,6.54508e+11,6.43721e+12
3.78e+06,6.66579e+11,6.619e+12
3.87e+06,6.7865e+11,6.80079e+12
3.96e+06,6.9072e+11,6.98257e+12
4.05e+06,7.02791e+11,7.16436e+12
4.14e+06,7.14861e+11,7.34615e+12
4.23e+06,7.26932e+11,7.52794e+12
4.32e+06,7.39003e+11,7.70972e+12
4.41e+06,7.51073e+11,7.89151e+12
4.5e+06,7.63144e+11,8.0733e+12
4.59e+06,7.75214e+11,8.25509e+12
4.68e+06,7.87285e+11,8.43688e+12
4.77e+06,7.99355e+11,8.61866e+12
4.86e+06,8.11426e+11,8.80045e+12
4.95e+06,8.23496e+11,8.98224e+12
5.04e+06,8.35567e+11,9.16403e+12
5.13e+06,8.47638e+11,9.34581e+12
5.22e+06,8.59708e+11,9.5276e+12
5.31e+06,8.71779e+11,9.70939e+12
5.4e+06,8.83849e+11,9.89118e+12
5.49e+06,8.9592e+11,1.0073e+13
5.58e+06,9.0799e+11,1.02548e+13
5.67e+06,9.20061e+11,1.04365e+13
5.76e+06,9.32131e+11,1.06183e+13
5.85e+06,9.44202e+11,1.08001e+13
5.94e+06,9.56272e+11,1.09819e+13
6.03e+06,9.68343e+11,1.11637e+13
6.12e+06,9.80413e+11,1.13455e+13
6.21e+06,9.92484e+11,1.15273e+13
6.3e+06,1.00455e+12,1.1709e+13
6.39e+06,1.01663e+12,1.18908e+13
6.48e+06,1.0287e+12,1.20726e+13
6.57e+06,1.04077e+12,1.22544e+13
6.66e+06,1.05284e+12,1.24362e+13
6.75e+06,1.06491e+12,1.2618e+13
6.84e+06,1.07698e+12,1.27998e+13
6.93e+06,1.08905e+12,1.29816e+13
7.02e+06,1.10112e+12,1.31633e+13
7.11e+06,1.11319e+12,1.33451e+13
7.2e+06,1.12526e+12,1.35269e+13
7.29e+06,1.13733e+12,1.37087e+13
7.38e+06,1.1494e+12,1.38905e+13
7.47e+06,1.16147e+12,1.40723e+13
7.56e+06,1.17354e+12,1.42541e+13
7.65e+06,1.18561e+12,1.44359e+13
7.74e+06,1.19768e+12,1.46176e+13
7.83e+06,1.20975e+12,1.47994e+13
7.92e+06,1.22182e+12,1.49812e+13
8.01e+06,1.23389e+12,1.5163e+13
8.1e+06,1.24596e+12,1.53448e+13
8.19e+06,1.25804e+12,1.55266e+13
8.28e+06,1.27011e+12,1.57084e+13
8.37e+06,1.28218e+12,1.58901e+13
8.46e+06,1.29425e+12,1.60719e+13
8.55e+06,1.30632e+12,1.62537e+13
8.64e+06,1.31839e+12,1.64355e+13
8.73e+06,1.33046e+12,1.66173e+13
8.82e+06,1.34253e+12,1.67991e+13
8.91e+06,1.3546e+12,1.69809e+13
9e+06,1.36667e+12,1.71627e+13
9.09e+06,1.37874e+12,1.73444e+13
9.18e+06,1.39081e+12,1.75262e+13
9.27e+06,1.40288e+12,1.7708e+13
9.36e+06,1.41495e+12,1.78898e+13
9.45e+06,1.42702e+12,1.80716e+13
9.54e+06,1.43909e+12,1.82534e+13
9.63e+06,1.45116e+12,1.84352e+13
9.72e+06,1.46323e+12,1.86169e+13
9.81e+06,1.4753e+12,1.87987e+13
9.9e+06,1.48737e+12,1.89805e+13
9.99e+06,1.49944e+12,1.91623e+13
1.008e+07,1.51151e+12,1.93441e+13
1.017e+07,1.52359e+12,1.95259e+13
1.026e+07,1.53566e+12,1.97077e+13
1.035e+07,1.54773e+12,1.98894e+13
1.044e+07,1.5598e+12,2.00712e+13
1.053e+07,1.57187e+12,2.0253e+13
1.062e+07,1.58394e+12,2.04348e+13
1.071e+07,1.59601e+12,2.06166e+13
1.08e+07,1.60808e+12,2.07984e+13
1.089e+07,1.62015e+12,2.09802e+13
1.098e+07,1.63222e+12,2.1162e+13
1.107e+07,1.64429e+12,2.13437e+13
1.116e+07,1.65636e+12,2.15255e+13
1.125e+07,1.66843e+12,2.17073e+13
1.134e+07,1.6805e+12,2.18891e+13
1.143e+07,1.69257e+12,2.20709e+13
