t,Mercury_x,Mercury_y,Venus_x,Venus_y,Earth_x,Earth_y,Mars_x,Mars_y,Jupiter_x,Jupiter_y,Saturn_x,Saturn_y,Uranus_x,Uranus_y,Neptune_x,Neptune_y
1,57.752,4.13302,108.158,3.02556,149.578,2.57329,227.89,2.08496,778.599,1.12803,1434,0.831192,2871,0.587435,4495,0.469474
2,57.3093,8.24495,108.031,6.04876,149.511,5.14582,227.862,4.16975,778.597,2.25605,1434,1.66238,2871,1.17487,4495,0.938947
3,56.5743,12.3148,107.819,9.06722,149.401,7.71683,227.814,6.25418,778.593,3.38407,1434,2.49358,2871,1.7623,4495,1.40842
4,55.5506,16.3218,107.523,12.0786,149.246,10.2856,227.747,8.3381,778.587,4.51208,1434,3.32477,2871,2.34974,4495,1.87789
5,54.2435,20.2456,107.144,15.0805,149.047,12.8512,227.662,10.4213,778.58,5.64008,1433.99,4.15596,2871,2.93717,4495,2.34737
6,52.6596,24.0661,106.68,18.0707,148.804,15.4131,227.557,12.5037,778.571,6.76807,1433.99,4.98714,2871,3.52461,4495,2.81684
7,50.807,27.7637,106.133,21.0466,148.516,17.9704,227.433,14.585,778.56,7.89604,1433.99,5.81833,2871,4.11204,4495,3.28632
8,48.6952,31.3197,105.503,24.0062,148.185,20.5224,227.29,16.665,778.548,9.024,1433.98,6.64952,2871,4.69947,4495,3.75579
9,46.335,34.7159,104.79,26.947,147.81,23.0684,227.128,18.7437,778.534,10.1519,1433.98,7.4807,2871,5.28691,4495,4.22526
10,43.7383,37.935,103.996,29.8666,147.392,25.6075,226.947,20.8208,778.518,11.2799,1433.98,8.31188,2870.99,5.87434,4495,4.69474
11,40.9184,40.9605,103.12,32.763,146.929,28.139,226.747,22.8962,778.501,12.4078,1433.97,9.14305,2870.99,6.46178,4495,5.16421
12,37.8897,43.7769,102.163,35.6337,146.424,30.6622,226.528,24.9696,778.482,13.5356,1433.97,9.97423,2870.99,7.04921,4495,5.63368
13,34.6678,46.37,101.127,38.4765,145.874,33.1763,226.29,27.041,778.462,14.6635,1433.96,10.8054,2870.99,7.63664,4495,6.10316
14,31.2689,48.7265,100.011,41.2893,145.282,35.6806,226.033,29.1101,778.44,15.7913,1433.95,11.6366,2870.99,8.22407,4495,6.57263
15,27.7104,50.8343,98.8176,44.0697,144.647,38.1744,225.757,31.1768,778.416,16.9191,1433.95,12.4677,2870.99,8.81151,4494.99,7.0421
16,24.0106,52.6828,97.5466,46.8157,143.969,40.6568,225.463,33.2408,778.391,18.0468,1433.94,13.2989,2870.98,9.39894,4494.99,7.51158
17,20.1882,54.2624,96.1993,49.5251,143.248,43.1272,225.149,35.3021,778.364,19.1745,1433.93,14.13,2870.98,9.98637,4494.99,7.98105
18,16.2628,55.5651,94.7768,52.1957,142.485,45.5849,224.817,37.3604,778.335,20.3022,1433.92,14.9612,2870.98,10.5738,4494.99,8.45052
19,12.2544,56.5843,93.2802,54.8255,141.68,48.0291,224.466,39.4156,778.305,21.4298,1433.91,15.7923,2870.98,11.1612,4494.99,8.91999
20,8.18353,57.3147,91.7106,57.4125,140.833,50.459,224.096,41.4675,778.273,22.5574,1433.9,16.6235,2870.98,11.7487,4494.99,9.38947
21,4.07087,57.7526,90.0693,59.9545,139.944,52.8741,223.707,43.5159,778.24,23.6849,1433.89,17.4546,2870.97,12.3361,4494.99,9.85894
22,-0.0625621,57.8958,88.3575,62.4497,139.014,55.2734,223.3,45.5607,778.205,24.8124,1433.88,18.2857,2870.97,12.9235,4494.99,10.3284
23,-4.19567,57.7436,86.5767,64.896,138.042,57.6565,222.874,47.6017,778.168,25.9398,1433.87,19.1169,2870.97,13.5109,4494.99,10.7979
24,-8.30737,57.2968,84.7282,67.2915,137.03,60.0224,222.429,49.6386,778.13,27.0672,1433.86,19.948,2870.97,14.0984,4494.99,11.2674
