t,Mercury_x,Mercury_y,Venus_x,Venus_y,Earth_x,Earth_y,Mars_x,Mars_y,Jupiter_x,Jupiter_y,Saturn_x,Saturn_y,Uranus_x,Uranus_y,Neptune_x,Neptune_y,sat_x,sat_y
1,57.7521,4.13302,108.158,3.02556,149.578,2.57329,227.89,2.08496,778.599,1.12803,1434,0.831192,2871,0.587435,4495,0.469474,148.106,1.05567
2,57.3095,8.24495,108.031,6.04876,149.511,5.14582,227.862,4.16975,778.597,2.25605,1434,1.66238,2871,1.17487,4495,0.938947,146.569,2.11463
3,56.5746,12.3148,107.819,9.06722,149.401,7.71683,227.814,6.25418,778.593,3.38407,1434,2.49358,2871,1.7623,4495,1.40842,144.985,3.17306
4,55.551,16.3219,107.524,12.0786,149.246,10.2856,227.747,8.3381,778.587,4.51208,1434,3.32477,2871,2.34974,4495,1.87789,143.355,4.23052
5,54.244,20.2456,107.144,15.0805,149.047,12.8512,227.662,10.4213,778.58,5.64008,1433.99,4.15596,2871,2.93717,4495,2.34737,141.676,5.28659
6,52.6603,24.0661,106.68,18.0707,148.804,15.4131,227.557,12.5037,778.571,6.76807,1433.99,4.98714,2871,3.52461,4495,2.81684,139.948,6.34083
7,50.8078,27.7637,106.133,21.0467,148.517,17.9704,227.433,14.585,778.56,7.89604,1433.99,5.81833,2871,4.11204,4495,3.28632,138.17,7.3928
8,48.6961,31.3198,105.503,24.0062,148.185,20.5224,227.29,16.665,778.548,9.024,1433.98,6.64952,2871,4.69947,4495,3.75579,136.34,8.44202
9,46.336,34.716,104.79,26.947,147.81,23.0684,227.128,18.7437,778.534,10.1519,1433.98,7.4807,2871,5.28691,4495,4.22526,134.457,9.48796
10,43.7394,37.9351,103.996,29.8666,147.392,25.6075,226.947,20.8208,778.518,11.2799,1433.98,8.31188,2870.99,5.87434,4495,4.69474,132.52,10.5301
11,40.9197,40.9606,103.12,32.763,146.93,28.139,226.747,22.8962,778.501,12.4078,1433.97,9.14305,2870.99,6.46178,4495,5.16421,130.526,11.5677
12,37.8912,43.7771,102.164,35.6337,146.424,30.6622,226.528,24.9696,778.482,13.5356,1433.97,9.97423,2870.99,7.04921,4495,5.63368,128.476,12.6003
13,34.6694,46.3703,101.127,38.4765,145.875,33.1763,226.29,27.041,778.462,14.6635,1433.96,10.8054,2870.99,7.63664,4495,6.10316,126.366,13.6271
14,31.2706,48.7268,100.012,41.2893,145.282,35.6806,226.033,29.1101,778.44,15.7913,1433.95,11.6366,2870.99,8.22407,4495,6.57263,124.195,14.6473
15,27.7123,50.8347,98.818,44.0697,144.647,38.1744,225.758,31.1768,778.416,16.9191,1433.95,12.4677,2870.99,8.81151,4494.99,7.0421,121.961,15.66
16,24.0126,52.6833,97.5471,46.8157,143.969,40.6568,225.463,33.2408,778.391,18.0468,1433.94,13.2989,2870.98,9.39894,4494.99,7.51158,119.662,16.6644
17,20.1904,54.263,96.1998,49.5251,143.248,43.1272,225.149,35.3021,778.364,19.1745,1433.93,14.13,2870.98,9.98637,4494.99,7.98105,117.296,17.6595
18,16.2652,55.5658,94.7774,52.1957,142.485,45.5849,224.817,37.3604,778.335,20.3022,1433.92,14.9612,2870.98,10.5738,4494.99,8.45052,114.861,18.6441
19,12.2569,56.5851,93.2808,54.8256,141.68,48.0291,224.466,39.4156,778.305,21.4298,1433.91,15.7923,2870.98,11.1612,4494.99,8.91999,112.353,19.6169
20,8.18617,57.3157,91.7112,57.4125,140.833,50.459,224.096,41.4675,778.273,22.5574,1433.9,16.6235,2870.98,11.7487,4494.99,9.38947,109.77,20.5766
21,4.07363,57.7539,90.07,59.9546,139.944,52.8741,223.707,43.5159,778.24,23.6849,1433.89,17.4546,2870.97,12.3361,4494.99,9.85894,107.109,21.5217
22,-0.0596882,57.8973,88.3583,62.4497,139.014,55.2734,223.3,45.5607,778.205,24.8124,1433.88,18.2857,2870.97,12.9235,4494.99,10.3284,104.366,22.4504
23,-4.1927,57.7453,86.5775,64.896,138.043,57.6565,222.874,47.6017,778.168,25.9398,1433.87,19.1169,2870.97,13.5109,4494.99,10.7979,101.539,23.3608
24,-8.30432,57.2986,84.729,67.2916,137.031,60.0224,222.429,49.6386,778.13,27.0672,1433.86,19.948,2870.97,14.0984,4494.99,11.2674,98.6224,24.2507
25,-12.3736,56.5596,82.8142,69.6345,135.978,62.3706,221.966,51.6715,778.09,28.1945,1433.85,20.7791,2870.96,14.6858,4494.98,11.7368,95.6127,25.1177
26,-16.3797,55.532,80.8347,71.923,134.885,64.7004,221.484,53.7,778.048,29.3217,1433.84,21.6102,2870.96,15.2732,4494.98,12.2063,92.5048,25.9588
27,-20.3022,54.221,78.7919,74.1552,133.752,67.011,220.983,55.724,778.005,30.4489,1433.82,22.4413,2870.96,15.8607,4494.98,12.6758,89.2936,26.771
28,-24.1211,52.6333,76.6875,76.3295,132.579,69.3018,220.464,57.7433,777.96,31.5761,1433.81,23.2724,2870.95,16.4481,4494.98,13.1452,85.9732,27.5503
29,-27.817,50.7771,74.5232,78.444,131.368,71.5721,219.927,59.7578,777.913,32.7031,1433.8,24.1034,2870.95,17.0355,4494.98,13.6147,82.5369,28.2925
30,-31.3709,48.6618,72.3006,80.4972,130.117,73.8211,219.371,61.7673,777.865,33.8301,1433.78,24.9345,2870.95,17.6229,4494.98,14.0842,78.9774,28.9924
31,-34.7647,46.2982,70.0214,82.4874,128.828,76.0484,218.797,63.7717,777.815,34.957,1433.77,25.7656,2870.94,18.2104,4494.98,14.5537,75.2865,29.644
32,-37.9811,43.6983,67.6875,84.4131,127.501,78.2531,218.204,65.7707,777.764,36.0839,1433.75,26.5966,2870.94,18.7978,4494.97,15.0231,71.4546,30.24
33,-41.0038,40.8755,65.3007,86.2728,126.136,80.4347,217.593,67.7642,777.711,37.2107,1433.74,27.4277,2870.93,19.3852,4494.97,15.4926,67.471,30.7717
34,-43.8172,37.8441,62.8628,88.0651,124.734,82.5925,216.964,69.752,777.656,38.3374,1433.72,28.2587,2870.93,19.9726,4494.97,15.9621,63.3234,31.2284
35,-46.407,34.6196,60.3757,89.7884,123.295,84.7259,216.317,71.734,777.6,39.464,1433.7,29.0897,2870.93,20.56,4494.97,16.4315,58.9973,31.597
36,-48.76,31.2184,57.8414,91.4416,121.819,86.8341,215.652,73.71,777.542,40.5905,1433.69,29.9208,2870.92,21.1475,4494.97,16.901,54.476,31.8608
37,-50.8643,27.658,55.2619,93.0232,120.308,88.9167,214.969,75.6798,777.482,41.717,1433.67,30.7518,2870.92,21.7349,4494.97,17.3705,49.7397,31.9984
38,-52.709,23.9564,52.6391,94.5321,118.76,90.973,214.267,77.6433,777.421,42.8433,1433.65,31.5828,2870.91,22.3223,4494.96,17.84,44.7648,31.982
39,-54.2847,20.1326,49.9752,95.967,117.178,93.0024,213.548,79.6002,777.358,43.9696,1433.63,32.4138,2870.91,22.9097,4494.96,18.3094,39.523,31.7742
40,-55.5834,16.2061,47.2722,97.3269,115.561,95.0042,212.811,81.5506,777.293,45.0958,1433.61,33.2447,2870.9,23.4971,4494.96,18.7789,33.9805,31.3232
41,-56.5986,12.1969,44.5323,98.6107,113.91,96.9779,212.056,83.494,777.227,46.2219,1433.59,34.0757,2870.9,24.0845,4494.96,19.2484,28.0962,30.5549
